,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level,Customer_ID
1,1,182,4309.999999999997,4,4,4,444,12,STARS,12347.0
2,74,31,1797.24,2,2,4,224,8,BIG SPENDER,12348.0
3,18,73,1757.55,4,3,4,434,11,BIG SPENDER,12349.0
4,309,17,334.40000000000003,1,1,2,112,4,LOST,12350.0
5,35,85,2506.040000000001,3,3,4,334,10,BIG SPENDER,12352.0
6,203,4,89.0,1,1,1,111,3,LOST,12353.0
7,231,58,1079.4,1,3,3,133,7,LOST,12354.0
8,213,13,459.4,1,1,2,112,4,LOST,12355.0
9,22,59,2811.4300000000007,3,3,4,334,10,BIG SPENDER,12356.0
10,32,131,6207.669999999996,3,4,4,344,11,BIG SPENDER,12357.0
11,1,19,1168.06,4,2,3,423,9,ACTIVE,12358.0
12,57,248,6372.580000000005,2,4,4,244,10,BIG SPENDER,12359.0
13,51,129,2662.0600000000004,3,4,4,344,11,BIG SPENDER,12360.0
14,286,10,189.89999999999998,1,1,1,111,3,LOST,12361.0
15,2,266,5226.230000000003,4,4,4,444,12,STARS,12362.0
16,109,23,552.0,2,2,2,222,6,REGULARS,12363.0
17,7,85,1313.1000000000001,4,3,3,433,10,ACTIVE,12364.0
18,290,22,641.38,1,2,2,122,5,LOST,12365.0
19,3,11,168.9,4,1,1,411,6,NEW,12367.0
20,50,167,3545.689999999998,3,4,4,344,11,BIG SPENDER,12370.0
21,44,63,1887.9600000000003,3,3,4,334,10,BIG SPENDER,12371.0
22,71,52,1298.0400000000002,2,3,3,233,8,REGULARS,12372.0
23,310,14,364.6,1,1,2,112,4,LOST,12373.0
24,24,33,742.93,3,2,3,323,8,REGULARS,12374.0
25,10,17,457.5000000000001,4,1,2,412,7,ACTIVE,12375.0
26,314,77,1628.1199999999997,1,3,4,134,8,BIG SPENDER,12377.0
27,129,219,4008.6200000000013,2,4,4,244,10,BIG SPENDER,12378.0
28,81,40,852.2399999999997,2,2,3,223,7,REGULARS,12379.0
29,21,104,2724.81,3,4,4,344,11,BIG SPENDER,12380.0
30,4,87,1845.3100000000006,4,3,4,434,11,BIG SPENDER,12381.0
31,184,99,1850.5599999999997,1,4,4,144,9,BIG SPENDER,12383.0
32,28,27,585.2700000000001,3,2,2,322,7,REGULARS,12384.0
33,337,10,401.90000000000003,1,1,2,112,4,LOST,12386.0
34,15,100,2780.6600000000003,4,4,4,444,12,STARS,12388.0
35,79,32,549.8399999999999,2,2,2,222,6,REGULARS,12390.0
36,21,100,460.88999999999993,3,4,2,342,9,LOYAL,12391.0
37,71,64,1582.6000000000004,2,3,4,234,9,BIG SPENDER,12393.0
38,63,27,1272.48,2,2,3,223,7,REGULARS,12394.0
39,18,156,3018.6299999999987,4,4,4,444,12,STARS,12395.0
40,35,126,2409.9000000000005,3,4,4,344,11,BIG SPENDER,12397.0
41,45,85,1635.6599999999999,3,3,4,334,10,BIG SPENDER,12398.0
42,118,59,1108.65,2,3,3,233,8,REGULARS,12399.0
43,302,5,84.3,1,1,1,111,3,LOST,12401.0
44,322,11,225.6,1,1,1,111,3,LOST,12402.0
45,49,5,427.7,3,1,2,312,6,REGULARS,12403.0
